Size;Real Time;Depth;Average Depth
2;0.0;2.0;1.0
3;0.0;3.0;2.0
4;0.0;3.1333333333333333;1.4
5;0.0;3.2;1.4
6;0.0;2.8666666666666667;1.0666666666666667
7;0.0;3.466666666666667;1.1333333333333333
8;0.0;4.333333333333333;1.5333333333333334
9;0.0;4.066666666666666;1.2666666666666666
10;0.0;4.2;1.3333333333333333
11;0.0;4.2;1.2666666666666666
12;0.0;4.333333333333333;1.2
13;0.0;4.333333333333333;1.2666666666666666
14;0.0;4.4;1.2666666666666666
15;0.0;4.933333333333334;1.4666666666666666
16;0.0;4.666666666666667;1.2666666666666666
17;0.0;4.866666666666666;1.4666666666666666
18;0.0;4.8;1.2
19;0.6666666666666666;4.666666666666667;1.0666666666666667
20;1.9333333333333333;5.066666666666666;1.1333333333333333
21;3.6;5.066666666666666;1.2
22;11.733333333333333;5.066666666666666;1.0666666666666667
23;23.733333333333334;5.533333333333333;1.4666666666666666
24;89.0;5.266666666666667;1.0666666666666667
25;354.06666666666666;5.4;1.2666666666666666
