Size;Real Time;Depth;Average Depth
2;0.0;2.0;1.0
3;0.0;3.0;2.0
4;0.0;3.066666666666667;1.3333333333333333
5;0.0;3.4;1.6
6;0.0;3.3333333333333335;1.4666666666666666
7;0.0;3.6666666666666665;1.3333333333333333
8;0.0;3.7333333333333334;1.1333333333333333
9;0.0;4.0;1.4666666666666666
10;0.0;4.266666666666667;1.4666666666666666
11;0.0;3.8666666666666667;1.0
12;0.0;4.266666666666667;1.2
13;0.0;4.4;1.1333333333333333
14;0.0;4.066666666666666;1.1333333333333333
15;0.0;4.866666666666666;1.4666666666666666
16;0.0;4.8;1.2666666666666666
17;0.0;5.2;1.4
18;0.0;4.933333333333334;1.3333333333333333
19;0.0;4.666666666666667;1.0666666666666667
20;0.0;4.933333333333334;1.1333333333333333
21;0.13333333333333333;5.0;1.2
22;0.4666666666666667;5.2;1.2666666666666666
23;0.13333333333333333;5.533333333333333;1.0666666666666667
24;1.2666666666666666;5.266666666666667;1.2
25;4.933333333333334;5.266666666666667;1.2666666666666666
