Size;Real Time;Depth;Average Depth
2;0,000;2,000;1,000
3;0,000;3,000;2,000
4;0,000;3,400;1,533
5;0,000;2,867;1,267
6;0,000;3,267;1,400
7;0,000;3,667;1,333
8;0,000;4,000;1,267
9;0,000;4,000;1,267
10;0,000;3,867;1,333
11;0,000;3,933;1,133
12;0,000;4,267;1,333
13;0,000;4,667;1,333
14;0,000;4,533;1,200
15;0,000;4,733;1,400
16;0,000;5,200;1,533
17;0,000;4,867;1,133
18;0,000;4,933;1,133
19;0,067;4,867;1,133
20;0,067;5,000;1,333
21;0,333;5,400;1,400
22;0,733;5,133;1,133
23;2,533;5,200;1,267
24;4,400;5,000;1,133
25;9,400;5,200;1,000
